KR-11	首尔特别市	서울특별시	Seoul Special City	特别市
KR-26	釜山广域市	부산광역시	Busan Metropolitan City	广域市
KR-27	大邱广域市	대구광역시	Daegu Metropolitan City	广域市
KR-28	仁川广域市	인천광역시	Incheon Metropolitan City	广域市
KR-29	光州广域市	광주광역시	Gwangju Metropolitan City	广域市
KR-30	大田广域市	대전광역시	Daejeon Metropolitan City	广域市
KR-31	蔚山广域市	울산광역시	Ulsan Metropolitan City	广域市
KR-41	京畿道	경기도	Gyeonggi-do	道
KR-42	江原道	강원도	Gangwon-do	道
KR-43	忠清北道	충청북도	Chungcheongbuk-do	道
KR-44	忠清南道	충청남도	Chungcheongnam-do	道
KR-45	全罗北道	전라북도	Jeollabuk-do	道
KR-46	全罗南道	전라남도	Jeollanam-do	道
KR-47	庆尚北道	경상북도	Gyeongsangbuk-do	道
KR-48	庆尚南道	경상남도	Gyeongsangnam-do	道
KR-49	济州特别自治道	제주특별자치도	Jeju-teukbyeoljachido	特别自治道
KR-50	世宗特别自治市	세종특별자치시	Sejong	特别自治市
